year,team,expected_pick
2026,OKC,3.648
2026,HOU,3.873
2026,DEN,4.066
2026,CLE,4.467
2026,DET,4.977
2026,LAL,5.528
2026,NYK,6.251
2026,MIA,7.003
2026,TOR,8.034
2026,ATL,9.187
2026,ORL,10.353
2026,SAS,11.354
2026,MIN,12.526
2026,GSW,13.733
2026,PHI,15.0
2026,BOS,16.0
2026,PHO,17.0
2026,LAC,18.0
2026,MIL,19.0
2026,POR,20.0
2026,CHI,21.0
2026,MEM,22.0
2026,DAL,23.0
2026,CHA,24.0
2026,NOP,25.0
2026,SAC,26.0
2026,UTA,27.0
2026,IND,28.0
2026,BRK,29.0
2026,WAS,30.0
2027,OKC,3.838
2027,HOU,4.02
2027,DEN,5.077
2027,CLE,5.691
2027,DET,4.235
2027,LAL,10.311
2027,NYK,11.447
2027,MIA,14.851
2027,TOR,9.312
2027,ATL,7.164
2027,ORL,13.675
2027,SAS,4.658
2027,MIN,12.583
2027,GSW,16.929
2027,PHI,16.009
2027,BOS,6.388
2027,PHO,18.013
2027,LAC,27.835
2027,MIL,26.937
2027,POR,18.994
2027,CHI,25.044
2027,MEM,23.954
2027,DAL,20.985
2027,CHA,22.979
2027,NOP,20.013
2027,SAC,28.588
2027,UTA,25.963
2027,IND,8.23
2027,BRK,29.241
2027,WAS,22.035
2028,OKC,5.123
2028,HOU,4.452
2028,DEN,8.168
2028,CLE,10.628
2028,DET,4.75
2028,LAL,6.654
2028,NYK,16.804
2028,MIA,13.598
2028,TOR,11.584
2028,ATL,9.728
2028,ORL,12.638
2028,SAS,5.514
2028,MIN,6.012
2028,GSW,22.693
2028,PHI,17.906
2028,BOS,7.396
2028,PHO,24.477
2028,LAC,15.682
2028,MIL,27.203
2028,POR,18.98
2028,CHI,25.14
2028,MEM,25.885
2028,DAL,14.673
2028,CHA,20.807
2028,NOP,21.832
2028,SAC,27.726
2028,UTA,23.606
2028,IND,8.826
2028,BRK,26.645
2028,WAS,19.869
2029,OKC,6.756
2029,HOU,7.72
2029,DEN,10.617
2029,CLE,13.454
2029,DET,8.304
2029,LAL,8.772
2029,NYK,19.366
2029,MIA,12.711
2029,TOR,14.152
2029,ATL,11.989
2029,ORL,9.476
2029,SAS,6.362
2029,MIN,7.226
2029,GSW,22.989
2029,PHI,15.691
2029,BOS,11.363
2029,PHO,22.225
2029,LAC,20.927
2029,MIL,24.791
2029,POR,16.323
2029,CHI,21.623
2029,MEM,25.306
2029,DAL,14.937
2029,CHA,18.739
2029,NOP,17.833
2029,SAC,24.234
2029,UTA,20.21
2029,IND,10.005
2029,BRK,23.648
2029,WAS,17.253
2030,OKC,12.176
2030,HOU,11.78
2030,DEN,14.407
2030,CLE,13.5
2030,DET,10.6
2030,LAL,10.493
2030,NYK,18.069
2030,MIA,17.614
2030,TOR,15.647
2030,ATL,13.316
2030,ORL,12.589
2030,SAS,10.936
2030,MIN,10.048
2030,GSW,19.272
2030,PHI,11.357
2030,BOS,18.559
2030,PHO,20.628
2030,LAC,21.24
2030,MIL,21.027
2030,POR,16.331
2030,CHI,17.226
2030,MEM,20.061
2030,DAL,12.758
2030,CHA,15.124
2030,NOP,16.095
2030,SAC,19.547
2030,UTA,16.863
2030,IND,14.021
2030,BRK,18.832
2030,WAS,14.885
2031,OKC,14.068
2031,HOU,14.54
2031,DEN,16.182
2031,CLE,14.798
2031,DET,14.253
2031,LAL,13.357
2031,NYK,16.89
2031,MIA,17.102
2031,TOR,15.886
2031,ATL,15.008
2031,ORL,15.407
2031,SAS,13.368
2031,MIN,13.858
2031,GSW,16.694
2031,PHI,13.795
2031,BOS,15.996
2031,PHO,17.126
2031,LAC,17.565
2031,MIL,17.171
2031,POR,16.234
2031,CHI,15.72
2031,MEM,17.498
2031,DAL,14.105
2031,CHA,14.914
2031,NOP,15.108
2031,SAC,16.738
2031,UTA,15.636
2031,IND,14.503
2031,BRK,16.681
2031,WAS,14.798
2032,OKC,15.485
2032,HOU,15.492
2032,DEN,15.532
2032,CLE,15.609
2032,DET,15.463
2032,LAL,15.569
2032,NYK,15.533
2032,MIA,15.584
2032,TOR,15.497
2032,ATL,15.444
2032,ORL,15.511
2032,SAS,15.49
2032,MIN,15.548
2032,GSW,15.448
2032,PHI,15.48
2032,BOS,15.539
2032,PHO,15.505
2032,LAC,15.496
2032,MIL,15.323
2032,POR,15.441
2032,CHI,15.489
2032,MEM,15.498
2032,DAL,15.494
2032,CHA,15.504
2032,NOP,15.528
2032,SAC,15.583
2032,UTA,15.526
2032,IND,15.394
2032,BRK,15.436
2032,WAS,15.557
