team,total_value
Atlanta Hawks,26708.0432
Boston Celtics,15753.93
Brooklyn Nets,53604.5509
Charlotte Hornets,39328.3024
Chicago Bulls,34033.7571
Cleveland Cavaliers,13862.8764
Dallas Mavericks,16323.4485
Denver Nuggets,5267.8636
Detroit Pistons,21229.1356
Golden State Warriors,26281.7378
Houston Rockets,32897.0289
Indiana Pacers,25306.8778
Los Angeles Clippers,16197.8977
Los Angeles Lakers,12374.671
Memphis Grizzlies,41165.121
Miami Heat,18394.9035
Milwaukee Bucks,13980.6861
Minnesota Timberwolves,7434.9697
New Orleans Pelicans,26224.1819
New York Knicks,12547.23
Oklahoma City Thunder,30418.3694
Orlando Magic,14615.7571
Philadelphia 76ers,22939.7983
Phoenix Suns,7204.2566
Portland Trail Blazers,31361.1116
Sacramento Kings,39983.6337
San Antonio Spurs,22229.5271
Toronto Raptors,23610.6212
Utah Jazz,43998.1256
Washington Wizards,38529.2374
